id,cost,understock_units,overstock_units,stockout_rate,demand,arm
FOODS_3_807_TX_1_evaluation,133.0,26.0,3.0,0.5,167.0,champion
FOODS_3_821_WI_1_evaluation,12.0,1.0,7.0,0.25,14.0,champion
HOBBIES_1_002_WI_1_evaluation,25.0,0.0,25.0,0.0,15.0,champion
HOBBIES_1_003_CA_1_evaluation,6.0,0.0,6.0,0.0,22.0,champion
HOBBIES_1_003_WI_1_evaluation,8.0,0.0,8.0,0.0,8.0,champion
HOBBIES_1_005_CA_1_evaluation,8.0,0.0,8.0,0.0,44.0,champion
HOBBIES_1_006_CA_1_evaluation,16.0,0.0,16.0,0.0,28.0,champion
HOBBIES_1_007_CA_1_evaluation,7.0,0.0,7.0,0.0,9.0,champion
HOBBIES_1_007_WI_1_evaluation,10.0,0.0,10.0,0.0,14.0,champion
HOBBIES_1_009_CA_1_evaluation,19.0,0.0,19.0,0.0,17.0,champion
HOBBIES_1_009_WI_1_evaluation,28.0,3.0,13.0,0.25,30.0,champion
HOBBIES_1_011_CA_1_evaluation,7.0,0.0,7.0,0.0,1.0,champion
HOBBIES_1_011_WI_1_evaluation,1.0,0.0,1.0,0.0,3.0,champion
HOBBIES_1_012_WI_1_evaluation,10.0,0.0,10.0,0.0,6.0,champion
HOBBIES_1_014_TX_1_evaluation,57.0,11.0,2.0,0.75,73.0,champion
HOBBIES_1_016_WI_1_evaluation,149.0,13.0,84.0,0.25,101.0,champion
HOBBIES_1_018_TX_1_evaluation,2.0,0.0,2.0,0.0,10.0,champion
HOBBIES_1_021_CA_1_evaluation,33.0,6.0,3.0,0.5,35.0,champion
HOBBIES_1_021_TX_1_evaluation,9.0,0.0,9.0,0.0,7.0,champion
HOBBIES_1_022_CA_1_evaluation,13.0,0.0,13.0,0.0,3.0,champion
HOBBIES_1_023_TX_1_evaluation,32.0,0.0,32.0,0.0,32.0,champion
HOBBIES_1_029_WI_1_evaluation,10.0,0.0,10.0,0.0,6.0,champion
HOBBIES_1_030_CA_1_evaluation,120.0,0.0,120.0,0.0,124.0,champion
HOBBIES_1_031_WI_1_evaluation,4.0,0.0,4.0,0.0,8.0,champion
HOBBIES_1_032_CA_1_evaluation,56.0,3.0,41.0,0.25,162.0,champion
HOBBIES_1_032_TX_1_evaluation,172.0,26.0,42.0,0.25,60.0,champion
HOBBIES_1_033_TX_1_evaluation,3.0,0.0,3.0,0.0,5.0,champion
HOBBIES_1_036_CA_1_evaluation,10.0,0.0,10.0,0.0,26.0,champion
HOBBIES_1_037_WI_1_evaluation,3.0,0.0,3.0,0.0,5.0,champion
HOBBIES_1_041_WI_1_evaluation,3.0,0.0,3.0,0.0,13.0,champion
