id,arm,total_cost
HOUSEHOLD_2_107_WI_1_evaluation,treatment,82.0
HOUSEHOLD_2_110_WI_1_evaluation,treatment,233.0
HOUSEHOLD_2_119_WI_1_evaluation,treatment,131.0
HOUSEHOLD_2_127_WI_1_evaluation,treatment,84.0
HOUSEHOLD_2_132_CA_1_evaluation,treatment,15.0
HOUSEHOLD_2_134_CA_1_evaluation,treatment,75.0
HOUSEHOLD_2_143_TX_1_evaluation,treatment,90.0
HOUSEHOLD_2_146_CA_1_evaluation,treatment,122.0
HOUSEHOLD_2_148_WI_1_evaluation,treatment,109.0
HOUSEHOLD_2_159_CA_1_evaluation,treatment,159.0
HOUSEHOLD_2_161_WI_1_evaluation,treatment,25.0
HOUSEHOLD_2_171_WI_1_evaluation,treatment,87.0
HOUSEHOLD_2_188_TX_1_evaluation,treatment,94.0
HOUSEHOLD_2_195_TX_1_evaluation,treatment,104.0
HOUSEHOLD_2_199_CA_1_evaluation,treatment,118.0
HOUSEHOLD_2_203_WI_1_evaluation,treatment,132.0
HOUSEHOLD_2_216_WI_1_evaluation,treatment,15.0
HOUSEHOLD_2_228_CA_1_evaluation,treatment,91.0
HOUSEHOLD_2_239_WI_1_evaluation,treatment,169.0
HOUSEHOLD_2_242_CA_1_evaluation,treatment,60.0
HOUSEHOLD_2_243_WI_1_evaluation,treatment,40.0
HOUSEHOLD_2_249_WI_1_evaluation,treatment,67.0
HOUSEHOLD_2_251_TX_1_evaluation,treatment,224.0
HOUSEHOLD_2_252_TX_1_evaluation,treatment,80.0
HOUSEHOLD_2_255_CA_1_evaluation,treatment,106.0
HOUSEHOLD_2_257_TX_1_evaluation,treatment,120.0
HOUSEHOLD_2_261_TX_1_evaluation,treatment,108.0
HOUSEHOLD_2_265_WI_1_evaluation,treatment,108.0
HOUSEHOLD_2_268_TX_1_evaluation,treatment,76.0
HOUSEHOLD_2_277_WI_1_evaluation,treatment,79.0
HOUSEHOLD_2_280_CA_1_evaluation,treatment,122.0
HOUSEHOLD_2_282_CA_1_evaluation,treatment,142.0
HOUSEHOLD_2_286_TX_1_evaluation,treatment,121.0
HOUSEHOLD_2_295_CA_1_evaluation,treatment,142.0
HOUSEHOLD_2_295_TX_1_evaluation,treatment,102.0
HOUSEHOLD_2_299_CA_1_evaluation,treatment,150.0
HOUSEHOLD_2_303_TX_1_evaluation,treatment,55.0
HOUSEHOLD_2_332_WI_1_evaluation,treatment,57.0
HOUSEHOLD_2_339_CA_1_evaluation,treatment,40.0
HOUSEHOLD_2_352_WI_1_evaluation,treatment,134.0
HOUSEHOLD_2_357_TX_1_evaluation,treatment,75.0
HOUSEHOLD_2_388_CA_1_evaluation,treatment,106.0
HOUSEHOLD_2_389_WI_1_evaluation,treatment,181.0
HOUSEHOLD_2_392_CA_1_evaluation,treatment,50.0
HOUSEHOLD_2_393_WI_1_evaluation,treatment,40.0
HOUSEHOLD_2_396_CA_1_evaluation,treatment,45.0
HOUSEHOLD_2_417_TX_1_evaluation,treatment,40.0
HOUSEHOLD_2_422_WI_1_evaluation,treatment,70.0
HOUSEHOLD_2_424_TX_1_evaluation,treatment,84.0
HOUSEHOLD_2_431_WI_1_evaluation,treatment,90.0
HOUSEHOLD_2_445_WI_1_evaluation,treatment,106.0
HOUSEHOLD_2_459_TX_1_evaluation,treatment,85.0
HOUSEHOLD_2_467_WI_1_evaluation,treatment,123.0
HOUSEHOLD_2_472_TX_1_evaluation,treatment,103.0
HOUSEHOLD_2_479_TX_1_evaluation,treatment,58.0
HOUSEHOLD_2_486_TX_1_evaluation,treatment,76.0
HOUSEHOLD_2_502_TX_1_evaluation,treatment,20.0
HOUSEHOLD_2_504_WI_1_evaluation,treatment,85.0
HOUSEHOLD_2_515_TX_1_evaluation,treatment,0.0
HOUSEHOLD_2_516_CA_1_evaluation,treatment,96.0
